water_level,precipitation,rise_rate,status
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.3000000000000009,0.3,0.3,normal
0.7000000000000008,0.4,0.10000000000000003,normal
0.9000000000000009,0.2,0.0,normal
0.9000000000000009,0.0,0.0,normal
0.9000000000000009,0.0,0.0,normal
0.9000000000000009,0.0,0.0,normal
0.600000000000001,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.1000000000000009,0.1,0.1,normal
0.1000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.1000000000000009,0.1,0.1,normal
0.2000000000000009,0.1,0.0,normal
0.30000000000000093,0.1,0.0,normal
0.30000000000000093,0.0,0.0,normal
0.4000000000000009,0.1,0.1,normal
0.4000000000000009,0.0,0.0,normal
0.30000000000000093,0.0,0.0,normal
0.30000000000000093,0.1,0.1,normal
0.2000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.1000000000000009,0.1,0.1,normal
0.6000000000000009,0.5,0.4,normal
1.2000000000000008,0.6,0.09999999999999998,normal
1.300000000000001,0.1,0.0,normal
1.4000000000000008,0.1,0.0,normal
1.4000000000000008,0.0,0.0,normal
1.3000000000000007,0.0,0.0,normal
0.8000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.1000000000000009,0.1,0.1,normal
0.30000000000000093,0.2,0.1,normal
0.4000000000000009,0.1,0.0,normal
0.5000000000000009,0.1,0.0,normal
0.9000000000000009,0.4,0.30000000000000004,normal
1.100000000000001,0.2,0.0,normal
1.0000000000000009,0.0,0.0,normal
0.8000000000000009,0.0,0.0,normal
0.7000000000000008,0.0,0.0,normal
0.600000000000001,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.1000000000000009,0.1,0.1,normal
0.2000000000000009,0.1,0.0,normal
0.4000000000000009,0.2,0.1,normal
0.8000000000000009,0.4,0.2,normal
1.100000000000001,0.3,0.0,normal
1.300000000000001,0.2,0.0,normal
1.300000000000001,0.1,0.0,normal
1.200000000000001,0.0,0.0,normal
1.0000000000000009,0.0,0.0,normal
0.6000000000000009,0.0,0.0,normal
0.30000000000000093,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.1000000000000009,0.1,0.1,normal
0.2000000000000009,0.1,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.4000000000000009,0.4,0.4,normal
0.7000000000000008,0.3,0.0,normal
1.100000000000001,0.4,0.10000000000000003,normal
1.300000000000001,0.2,0.0,normal
1.400000000000001,0.1,0.0,normal
1.700000000000001,0.3,0.19999999999999998,normal
1.400000000000001,0.1,0.0,normal
1.200000000000001,0.1,0.0,normal
0.8000000000000009,0.0,0.0,normal
0.600000000000001,0.0,0.0,normal
0.5000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.1000000000000009,0.1,0.1,normal
0.2000000000000009,0.1,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.2000000000000009,0.0,0.0,normal
0.1000000000000009,0.0,0.0,normal
0.2000000000000009,0.2,0.2,normal
0.7000000000000008,0.5,0.3,normal
0.8000000000000009,0.1,0.0,normal
0.8000000000000009,0.0,0.0,normal
0.8000000000000009,0.0,0.0,normal
0.8000000000000009,0.0,0.0,normal
0.600000000000001,0.0,0.0,normal
0.10000000000000095,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.10000000000000095,0.1,0.1,normal
0.20000000000000095,0.1,0.0,normal
0.30000000000000093,0.1,0.0,normal
0.600000000000001,0.3,0.19999999999999998,normal
0.700000000000001,0.1,0.0,normal
0.700000000000001,0.0,0.0,normal
0.600000000000001,0.0,0.0,normal
0.5000000000000009,0.0,0.0,normal
0.4000000000000009,0.0,0.0,normal
0.100000000000001,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.100000000000001,0.1,0.1,normal
0.100000000000001,0.0,0.0,normal
0.100000000000001,0.0,0.0,normal
0.100000000000001,0.0,0.0,normal
0.100000000000001,0.0,0.0,normal
0.100000000000001,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
0.0,0.0,0.0,normal
